date,point,lat,lon,u_ms,v_ms,speed_ms,speed_kn,direction,temp_c,salinity
2023-06-01,中心,33.2667,134.2833,-0.2228,-0.1624,0.2757,0.5359,233.9,21.5,33.406
2023-06-01,北,33.3567,134.2833,-0.1477,-0.1215,0.1912,0.3718,230.6,21.43,33.268
2023-06-01,南,33.1767,134.2833,-0.2606,-0.1306,0.2915,0.5667,243.4,21.5,33.485
2023-06-01,東,33.2667,134.3933,-0.268,-0.2283,0.352,0.6843,229.6,21.08,33.21
2023-06-01,西,33.2667,134.1733,-0.3015,-0.1221,0.3253,0.6324,248.0,21.51,33.398
2023-06-02,中心,33.2667,134.2833,-0.3198,-0.3626,0.4835,0.9399,221.4,21.08,32.414
2023-06-02,北,33.3567,134.2833,-0.2112,-0.3027,0.3691,0.7176,214.9,21.09,32.226
2023-06-02,南,33.1767,134.2833,-0.3638,-0.3412,0.4988,0.9696,226.8,21.07,32.533
2023-06-02,東,33.2667,134.3933,-0.3137,-0.351,0.4707,0.9151,221.8,21.15,32.533
2023-06-02,西,33.2667,134.1733,-0.3931,-0.2649,0.474,0.9215,236.0,21.22,32.398
2023-06-03,中心,33.2667,134.2833,-0.3314,-0.2911,0.4411,0.8576,228.7,21.47,33.285
2023-06-03,北,33.3567,134.2833,-0.2393,-0.2484,0.3449,0.6705,223.9,21.17,32.994
2023-06-03,南,33.1767,134.2833,-0.3839,-0.2264,0.4457,0.8665,239.5,21.93,33.648
2023-06-03,東,33.2667,134.3933,-0.315,-0.2081,0.3775,0.7339,236.5,22.42,34.071
2023-06-03,西,33.2667,134.1733,-0.4608,-0.2149,0.5085,0.9884,245.0,21.31,33.009
2023-06-04,中心,33.2667,134.2833,-0.1965,-0.293,0.3528,0.6858,213.9,21.53,33.409
2023-06-04,北,33.3567,134.2833,-0.0781,-0.2313,0.2442,0.4747,198.7,21.06,33.088
2023-06-04,南,33.1767,134.2833,-0.2747,-0.2649,0.3816,0.7418,226.0,22.16,33.885
2023-06-04,東,33.2667,134.3933,-0.271,-0.2979,0.4027,0.7828,222.3,22.4,34.129
2023-06-04,西,33.2667,134.1733,-0.2905,-0.2344,0.3733,0.7257,231.1,21.09,33.065
2023-06-05,中心,33.2667,134.2833,-0.2356,-0.2606,0.3513,0.683,222.1,21.74,33.609
2023-06-05,北,33.3567,134.2833,-0.1044,-0.1849,0.2124,0.4128,209.4,21.19,33.227
2023-06-05,南,33.1767,134.2833,-0.3406,-0.2795,0.4406,0.8566,230.6,22.22,34.019
2023-06-05,東,33.2667,134.3933,-0.3101,-0.2777,0.4163,0.8092,228.2,22.24,34.133
2023-06-05,西,33.2667,134.1733,-0.2966,-0.1892,0.3518,0.684,237.5,21.2,33.227
2023-06-06,中心,33.2667,134.2833,-0.3125,-0.2557,0.4038,0.785,230.7,21.45,33.488
2023-06-06,北,33.3567,134.2833,-0.1727,-0.1807,0.25,0.4859,223.7,20.86,33.038
2023-06-06,南,33.1767,134.2833,-0.4144,-0.2356,0.4767,0.9268,240.4,21.79,33.883
2023-06-06,東,33.2667,134.3933,-0.3345,-0.1593,0.3705,0.7202,244.5,21.81,33.944
2023-06-06,西,33.2667,134.1733,-0.39,-0.1874,0.4327,0.8412,244.3,20.9,33.061
2023-06-07,中心,33.2667,134.2833,-0.2014,-0.2258,0.3026,0.5883,221.7,21.99,33.689
2023-06-07,北,33.3567,134.2833,-0.0812,-0.1727,0.1909,0.371,205.2,21.44,33.174
2023-06-07,南,33.1767,134.2833,-0.2832,-0.1672,0.3289,0.6394,239.4,22.33,34.092
2023-06-07,東,33.2667,134.3933,-0.1886,-0.105,0.2159,0.4196,240.9,22.45,34.124
2023-06-07,西,33.2667,134.1733,-0.3119,-0.1782,0.3592,0.6983,240.3,21.51,33.242
