date,point,lat,lon,u_ms,v_ms,speed_ms,speed_kn,direction,temp_c,salinity
2022-01-01,北東,33.3567,134.3933,-0.2368,-0.1367,0.2735,0.5316,240.0,19.32,34.492
2022-01-01,北西,33.3567,134.1733,-0.2869,-0.1788,0.3381,0.6572,238.1,17.91,34.234
2022-01-01,室戸沖,33.2667,134.2833,-0.2466,-0.3052,0.3924,0.7627,218.9,18.55,34.379
2022-01-01,東,33.2667,134.3933,-0.2448,-0.1331,0.2786,0.5416,241.5,19.39,34.483
2022-01-01,西,33.2667,134.1733,-0.5585,-0.2222,0.6011,1.1685,248.3,18.06,34.271
2022-01-02,北東,33.3567,134.3933,-0.2356,-0.199,0.3084,0.5995,229.8,19.39,34.483
2022-01-02,北西,33.3567,134.1733,-0.2435,-0.1642,0.2937,0.571,236.0,18.3,34.312
2022-01-02,室戸沖,33.2667,134.2833,-0.2435,-0.3058,0.3909,0.76,218.5,19.04,34.439
2022-01-02,東,33.2667,134.3933,-0.2564,-0.2069,0.3294,0.6404,231.1,19.35,34.478
2022-01-02,西,33.2667,134.1733,-0.5225,-0.2039,0.5608,1.0903,248.7,18.54,34.344
2022-01-03,北東,33.3567,134.3933,-0.1971,-0.2307,0.3035,0.59,220.5,19.19,34.468
2022-01-03,北西,33.3567,134.1733,-0.1947,-0.1758,0.2623,0.51,227.9,18.54,34.356
2022-01-03,室戸沖,33.2667,134.2833,-0.2277,-0.3174,0.3906,0.7593,215.7,19.06,34.448
2022-01-03,東,33.2667,134.3933,-0.2283,-0.2405,0.3316,0.6446,223.5,19.19,34.477
2022-01-03,西,33.2667,134.1733,-0.4761,-0.2142,0.5221,1.0149,245.8,18.74,34.385
2022-01-04,北東,33.3567,134.3933,-0.1947,-0.2319,0.3028,0.5887,220.0,18.9,34.448
2022-01-04,北西,33.3567,134.1733,-0.2087,-0.2197,0.3031,0.5892,223.5,18.37,34.347
2022-01-04,室戸沖,33.2667,134.2833,-0.2295,-0.3357,0.4067,0.7905,214.4,18.68,34.399
2022-01-04,東,33.2667,134.3933,-0.1947,-0.2429,0.3113,0.6052,218.7,18.93,34.468
2022-01-04,西,33.2667,134.1733,-0.5127,-0.2429,0.5674,1.1029,244.6,18.5,34.368
2022-01-05,北東,33.3567,134.3933,-0.246,-0.2069,0.3214,0.6249,229.9,19.05,34.526
2022-01-05,北西,33.3567,134.1733,-0.2893,-0.2246,0.3663,0.712,232.2,18.03,34.301
2022-01-05,室戸沖,33.2667,134.2833,-0.257,-0.332,0.4199,0.8162,217.7,18.33,34.362
2022-01-05,東,33.2667,134.3933,-0.1978,-0.1788,0.2666,0.5183,227.9,18.93,34.503
2022-01-05,西,33.2667,134.1733,-0.5512,-0.2551,0.6074,1.1807,245.2,18.07,34.312
2022-01-06,北東,33.3567,134.3933,-0.2222,-0.2045,0.3019,0.587,227.4,18.87,34.524
2022-01-06,北西,33.3567,134.1733,-0.2667,-0.2081,0.3383,0.6577,232.0,18.19,34.362
2022-01-06,室戸沖,33.2667,134.2833,-0.2344,-0.3369,0.4104,0.7979,214.8,18.63,34.468
2022-01-06,東,33.2667,134.3933,-0.1617,-0.1447,0.217,0.4218,228.2,18.79,34.51
2022-01-06,西,33.2667,134.1733,-0.5194,-0.2399,0.5721,1.1122,245.2,18.24,34.373
2022-01-07,北東,33.3567,134.3933,-0.1746,-0.1343,0.2202,0.4281,232.4,18.68,34.507
2022-01-07,北西,33.3567,134.1733,-0.1996,-0.1416,0.2447,0.4757,234.6,18.34,34.434
2022-01-07,室戸沖,33.2667,134.2833,-0.199,-0.2478,0.3178,0.6178,218.8,18.64,34.506
2022-01-07,東,33.2667,134.3933,-0.094,-0.0543,0.1086,0.2111,240.0,18.64,34.501
2022-01-07,西,33.2667,134.1733,-0.3998,-0.1666,0.4331,0.842,247.4,18.4,34.446
2022-01-08,北東,33.3567,134.3933,-0.0836,-0.0757,0.1128,0.2193,227.9,18.62,34.515
2022-01-08,北西,33.3567,134.1733,-0.1343,-0.1019,0.1686,0.3277,232.8,18.39,34.475
2022-01-08,室戸沖,33.2667,134.2833,-0.1331,-0.1715,0.2171,0.422,217.8,18.54,34.516
2022-01-08,東,33.2667,134.3933,0.0208,0.0403,0.0453,0.0881,27.3,18.69,34.504
2022-01-08,西,33.2667,134.1733,-0.2698,-0.1184,0.2946,0.5728,246.3,18.39,34.48
2022-01-09,北東,33.3567,134.3933,-0.0861,-0.0678,0.1095,0.2129,231.8,18.61,34.53
2022-01-09,北西,33.3567,134.1733,-0.1483,-0.1025,0.1803,0.3505,235.3,18.38,34.506
2022-01-09,室戸沖,33.2667,134.2833,-0.1184,-0.1477,0.1893,0.368,218.7,18.48,34.526
2022-01-09,東,33.2667,134.3933,0.0543,0.0958,0.1102,0.2141,29.5,19.0,34.518
2022-01-09,西,33.2667,134.1733,-0.238,-0.1056,0.2604,0.5062,246.1,18.34,34.503
2022-01-10,北東,33.3567,134.3933,0.0085,0.0043,0.0096,0.0186,63.4,18.67,34.545
2022-01-10,北西,33.3567,134.1733,-0.0873,-0.0867,0.123,0.2391,225.2,18.35,34.529
2022-01-10,室戸沖,33.2667,134.2833,0.0116,-0.0897,0.0905,0.1759,172.6,18.5,34.536
2022-01-10,東,33.2667,134.3933,0.1825,0.1709,0.25,0.4861,46.9,19.4,34.529
2022-01-10,西,33.2667,134.1733,-0.094,-0.0769,0.1214,0.2361,230.7,18.34,34.521
2022-01-11,北東,33.3567,134.3933,0.0092,-0.083,0.0835,0.1624,173.7,18.53,34.558
2022-01-11,北西,33.3567,134.1733,-0.0354,-0.1648,0.1686,0.3277,192.1,18.28,34.548
2022-01-11,室戸沖,33.2667,134.2833,0.0409,-0.1825,0.187,0.3636,167.4,18.29,34.552
2022-01-11,東,33.2667,134.3933,0.1642,0.0183,0.1652,0.3212,83.6,18.92,34.538
2022-01-11,西,33.2667,134.1733,-0.0189,-0.1599,0.161,0.313,186.7,18.23,34.539
2022-01-12,北東,33.3567,134.3933,-0.0085,-0.0391,0.04,0.0777,192.3,18.41,34.565
2022-01-12,北西,33.3567,134.1733,-0.0366,-0.1544,0.1587,0.3085,193.3,18.17,34.565
2022-01-12,室戸沖,33.2667,134.2833,0.0079,-0.1727,0.1729,0.3362,177.4,18.14,34.573
2022-01-12,東,33.2667,134.3933,0.1221,0.0525,0.1329,0.2583,66.7,18.64,34.553
2022-01-12,西,33.2667,134.1733,-0.0153,-0.1587,0.1594,0.3099,185.5,18.1,34.561
2022-01-13,北東,33.3567,134.3933,-0.0244,-0.0635,0.068,0.1322,201.0,18.37,34.562
2022-01-13,北西,33.3567,134.1733,-0.0403,-0.1758,0.1803,0.3506,192.9,18.07,34.57
2022-01-13,室戸沖,33.2667,134.2833,-0.0262,-0.2094,0.211,0.4102,187.1,18.1,34.582
