year,month,point,avg_speed_kn,avg_direction,avg_temp_c,avg_salinity,max_speed_kn,days
2022,1,中心,0.409,205.068,18.497,34.567,0.816,31
2022,1,北,0.371,194.413,18.409,34.556,0.743,31
2022,1,南,0.413,206.277,18.642,34.574,0.983,31
2022,1,東,0.299,203.619,18.808,34.578,0.645,31
2022,1,西,0.529,209.726,18.326,34.544,1.181,31
2022,2,中心,0.261,151.611,17.407,34.608,0.595,28
2022,2,北,0.26,142.282,17.36,34.617,0.756,28
2022,2,南,0.246,179.779,17.524,34.608,0.487,28
2022,2,東,0.156,212.35,17.69,34.637,0.368,28
2022,2,西,0.305,165.15,17.195,34.587,0.872,28
2022,3,中心,0.301,168.481,16.605,34.517,0.53,31
2022,3,北,0.285,157.335,16.365,34.472,0.586,31
2022,3,南,0.324,232.587,16.891,34.571,0.666,31
2022,3,東,0.259,237.248,16.978,34.588,0.548,31
2022,3,西,0.344,173.152,16.468,34.491,0.636,31
2022,4,中心,0.358,211.923,18.384,34.427,0.646,30
2022,4,北,0.294,205.3,18.072,34.343,0.494,30
2022,4,南,0.499,209.77,18.751,34.472,0.878,30
2022,4,東,0.436,203.157,18.796,34.475,0.792,30
2022,4,西,0.416,208.797,18.322,34.397,0.812,30
2022,5,中心,0.503,190.665,20.712,34.227,1.05,31
2022,5,北,0.379,183.819,20.395,34.155,0.754,31
2022,5,南,0.472,227.181,21.035,34.297,1.074,31
2022,5,東,0.358,240.642,21.155,34.306,0.832,31
2022,5,西,0.612,203.548,20.457,34.143,1.357,31
2022,6,中心,0.542,138.517,23.342,34.04,1.085,30
2022,6,北,0.378,134.077,23.144,34.037,0.771,30
2022,6,南,0.432,174.973,23.468,34.058,0.777,30
2022,6,東,0.355,193.047,23.279,34.104,0.686,30
2022,6,西,0.698,151.117,23.411,33.97,1.37,30
2022,7,中心,0.383,198.713,26.606,33.398,0.744,31
2022,7,北,0.33,161.01,26.481,33.358,0.687,31
2022,7,南,0.387,219.574,26.753,33.439,0.65,31
2022,7,東,0.34,202.616,26.737,33.492,0.588,31
2022,7,西,0.451,202.158,26.599,33.333,0.867,31
2022,8,中心,0.817,137.977,28.917,33.24,2.18,31
2022,8,北,0.745,132.51,28.657,33.156,1.875,31
2022,8,南,0.478,156.919,29.008,33.386,0.948,31
2022,8,東,0.399,162.916,28.922,33.538,0.957,31
2022,8,西,0.98,151.165,28.953,33.095,2.206,31
2022,9,中心,0.471,98.727,28.377,33.661,1.008,30
2022,9,北,0.415,106.683,28.306,33.638,0.843,30
2022,9,南,0.339,131.88,28.418,33.717,0.748,30
2022,9,東,0.271,188.523,28.423,33.72,0.578,30
2022,9,西,0.629,110.58,28.402,33.616,1.287,30
2022,10,中心,0.642,130.235,25.271,33.723,1.491,31
2022,10,北,0.538,129.69,25.236,33.677,1.185,31
2022,10,南,0.479,145.719,25.213,33.834,1.023,31
2022,10,東,0.417,150.755,25.248,33.886,0.988,31
2022,10,西,0.817,145.555,25.336,33.683,1.81,31
2022,11,中心,0.335,167.077,23.399,34.095,0.965,30
2022,11,北,0.276,144.717,23.047,34.005,0.761,30
2022,11,南,0.318,184.343,23.725,34.172,1.022,30
2022,11,東,0.231,190.56,23.667,34.14,0.835,30
2022,11,西,0.412,171.287,23.344,34.081,1.154,30
2022,12,中心,0.244,121.197,20.713,34.36,0.657,31
2022,12,北,0.222,111.697,20.679,34.349,0.608,31
2022,12,南,0.186,140.31,20.755,34.355,0.435,31
2022,12,東,0.179,151.429,20.573,34.274,0.466,31
2022,12,西,0.318,124.148,20.712,34.374,0.853,31
2023,1,中心,0.346,206.929,17.769,34.364,0.85,31
2023,1,北,0.329,204.706,17.48,34.306,0.641,31
2023,1,南,0.355,224.616,18.271,34.439,0.889,31
2023,1,東,0.282,208.206,18.525,34.477,0.718,31
2023,1,西,0.435,232.203,17.556,34.322,0.971,31
2023,2,中心,0.263,136.304,16.771,34.494,0.5,28
2023,2,北,0.246,125.146,16.462,34.451,0.571,28
2023,2,南,0.224,131.582,17.021,34.519,0.401,28
2023,2,東,0.194,152.107,16.987,34.527,0.343,28
2023,2,西,0.269,115.586,16.718,34.491,0.498,28
2023,3,中心,0.376,161.842,17.036,34.57,0.728,31
2023,3,北,0.265,199.2,16.695,34.539,0.626,31
2023,3,南,0.392,165.465,17.332,34.592,0.768,31
2023,3,東,0.345,163.555,17.261,34.609,0.642,31
2023,3,西,0.441,167.271,16.992,34.548,0.903,31
2023,4,中心,0.282,104.87,18.567,34.529,0.496,30
2023,4,北,0.295,124.67,18.392,34.501,0.612,30
2023,4,南,0.238,213.74,18.797,34.592,0.578,30
2023,4,東,0.225,198.47,18.86,34.617,0.606,30
2023,4,西,0.341,120.763,18.471,34.514,0.617,30
2023,5,中心,0.631,227.132,20.854,34.386,1.626,31
2023,5,北,0.461,202.871,20.522,34.335,1.328,31
2023,5,南,0.846,240.703,21.136,34.45,2.352,31
2023,5,東,0.637,226.077,21.178,34.472,1.748,31
2023,5,西,0.878,225.065,20.651,34.326,2.786,31
2023,6,中心,0.715,210.14,22.951,33.342,1.121,30
2023,6,北,0.504,193.167,22.547,32.986,0.799,30
2023,6,南,0.722,229.32,23.302,33.658,1.064,30
2023,6,東,0.544,227.997,23.363,33.709,0.915,30
2023,6,西,0.864,223.873,22.681,33.061,1.353,30
2023,7,中心,0.634,103.0,26.229,32.942,1.003,31
2023,7,北,0.338,124.071,25.742,32.717,0.626,31
2023,7,南,0.707,113.89,26.639,33.137,1.126,31
2023,7,東,0.35,111.332,25.923,32.988,0.552,31
2023,7,西,0.971,109.306,26.508,32.966,1.452,31
2023,8,中心,0.293,180.632,28.104,32.385,0.68,31
2023,8,北,0.236,188.039,28.207,32.207,0.619,31
2023,8,南,0.262,178.91,28.072,32.73,0.638,31
2023,8,東,0.236,136.458,28.119,32.824,0.58,31
2023,8,西,0.394,198.89,28.158,32.239,0.911,31
2023,9,中心,0.404,170.183,27.628,33.032,1.058,30
2023,9,北,0.352,168.733,27.524,32.891,0.917,30
2023,9,南,0.374,191.763,27.714,33.19,0.879,30
2023,9,東,0.338,187.863,27.624,33.081,0.698,30
2023,9,西,0.514,166.413,27.674,33.029,1.323,30
2023,10,中心,0.251,167.413,25.223,33.069,0.429,31
2023,10,北,0.233,153.887,25.129,33.044,0.467,31
2023,10,南,0.185,195.755,25.24,33.134,0.34,31
2023,10,東,0.177,232.619,25.103,33.193,0.313,31
2023,10,西,0.351,165.474,25.254,33.009,0.618,31
2023,11,中心,0.211,160.843,22.808,34.122,0.521,30
2023,11,北,0.21,119.977,22.778,34.106,0.592,30
2023,11,南,0.204,249.783,22.848,34.134,0.435,30
2023,11,東,0.172,218.127,22.769,34.106,0.399,30
2023,11,西,0.247,169.747,22.865,34.176,0.546,30
2023,12,中心,0.365,188.271,19.647,34.414,1.019,31
2023,12,北,0.301,146.839,19.623,34.422,0.716,31
2023,12,南,0.354,198.487,19.688,34.398,1.193,31
2023,12,東,0.256,193.661,19.67,34.392,0.764,31
2023,12,西,0.481,175.716,19.634,34.419,1.258,31
2024,1,中心,0.211,158.232,18.584,34.565,0.54,31
